,date_mutation,valeur_fonciere,surface_reelle_bati,type_local,longitude,latitude
444,2017-07-26,125000,20,Appartement,3.085728,50.635819
445,2017-07-21,159500,50,Appartement,3.057828,50.647254
447,2017-07-07,43000,22,Appartement,3.041656,50.63207
448,2017-07-07,160000,43,Appartement,3.066299,50.64263
450,2017-07-26,160000,39,Appartement,3.05716,50.647862
452,2017-07-19,138000,47,Appartement,3.042443,50.627052
454,2017-07-21,312000,100,Appartement,3.051446,50.633261
455,2017-07-28,194000,91,Appartement,3.065044,50.621388
457,2017-07-25,118000,90,Maison,3.114567,50.631994
458,2017-07-19,308000,62,Appartement,3.064029,50.62751
461,2017-07-13,275000,110,Appartement,3.085349,50.653191
462,2017-07-28,110000,30,Appartement,3.0572,50.625288
463,2017-07-24,122000,35,Appartement,3.064815,50.633283
464,2017-07-24,170550,85,Maison,3.085283,50.651737
465,2017-07-10,396420,158,Maison,3.088924,50.656076
467,2017-07-06,109000,68,Appartement,3.051313,50.622503
469,2017-07-12,92000,27,Appartement,3.041664,50.631263
470,2017-07-11,150000,33,Appartement,3.055638,50.633151
471,2017-07-17,142000,90,Maison,3.055574,50.605947
474,2017-07-24,126650,48,Maison,3.096322,50.623038
475,2017-07-24,101000,17,Appartement,3.058814,50.625228
476,2017-07-24,101000,17,Appartement,3.058814,50.625228
477,2017-07-28,174000,76,Appartement,3.077806,50.628471
479,2017-07-07,176500,38,Appartement,3.084424,50.634666
481,2017-07-07,176500,38,Appartement,3.084424,50.634666
482,2017-07-07,176500,34,Appartement,3.084424,50.634666
483,2017-07-17,177000,68,Appartement,3.067738,50.624686
485,2017-07-07,228963,68,Appartement,3.044041,50.615267
486,2017-07-25,122500,43,Appartement,3.05503,50.629165
487,2017-07-06,162800,53,Appartement,3.044944,50.625947
490,2017-07-11,157000,41,Appartement,3.05433,50.634975
491,2017-07-27,175000,62,Appartement,3.068832,50.640249
493,2017-07-03,110000,66,Maison,3.055775,50.60501
496,2017-07-10,145000,86,Appartement,3.082046,50.637023
500,2017-07-21,108000,38,Appartement,3.068889,50.621219
503,2017-07-18,78500,49,Appartement,3.096666,50.64958
505,2017-07-05,81000,35,Appartement,3.073496,50.619716
507,2017-07-19,124000,50,Appartement,3.051663,50.624404
508,2017-07-12,115000,38,Appartement,3.048279,50.635012
509,2017-07-07,385000,130,Appartement,3.05861,50.645087
511,2017-07-19,177500,56,Appartement,3.080442,50.622551
512,2017-07-18,120000,38,Appartement,3.065179,50.633463
513,2017-07-12,74600,30,Appartement,3.048735,50.626273
514,2017-07-07,218000,42,Appartement,3.040544,50.632442
515,2017-07-07,200000,90,Appartement,3.045625,50.626363
516,2017-07-03,146000,49,Appartement,3.041606,50.6241
518,2017-07-10,51700,36,Appartement,3.073385,50.621059
519,2017-07-12,108000,60,Appartement,3.03158,50.622774
521,2017-08-02,180400,48,Maison,3.092666,50.62267
525,2017-07-27,498800,129,Appartement,3.054071,50.636728
526,2017-07-24,268500,90,Maison,3.039544,50.633873
528,2017-08-01,301500,120,Maison,3.088277,50.647752
529,2017-07-25,94000,27,Appartement,3.075292,50.637407
531,2017-08-01,213600,84,Appartement,3.0435,50.627687
532,2017-07-07,244000,86,Appartement,3.042608,50.624931
534,2017-07-10,265000,85,Appartement,3.06968,50.631386
536,2017-07-12,87000,19,Appartement,3.063569,50.634571
538,2017-07-06,210000,68,Appartement,3.049811,50.630683
542,2017-07-10,104000,21,Appartement,3.091832,50.638676
544,2017-07-07,170000,47,Appartement,3.048628,50.629418
546,2017-07-26,579000,170,Appartement,3.053731,50.636666
547,2017-07-12,63050,14,Appartement,3.058427,50.636144
549,2017-07-31,293000,100,Appartement,3.054233,50.623975
555,2017-07-26,55000,40,Maison,3.089884,50.631067
558,2017-08-02,640000,42,Maison,3.052413,50.631868
559,2017-08-02,640000,82,Maison,3.052488,50.6319
561,2017-07-20,282500,84,Appartement,3.05716,50.647862
562,2017-08-01,317200,99,Appartement,3.087876,50.643268
565,2017-07-17,65500,18,Appartement,3.03373,50.627021
566,2017-07-18,120000,67,Appartement,3.061703,50.618361
567,2017-07-18,120000,69,Appartement,3.061703,50.618361
568,2017-07-27,166500,34,Appartement,3.053916,50.639129
569,2017-07-26,225000,40,Appartement,3.088266,50.626546
571,2017-07-26,225000,24,Appartement,3.088266,50.626546
572,2017-07-26,225000,40,Appartement,3.088266,50.626546
573,2017-07-26,225000,40,Appartement,3.088266,50.626546
574,2017-07-11,125800,66,Appartement,3.072455,50.62367
575,2017-08-02,144900,70,Maison,3.090728,50.636637
576,2017-07-07,226600,73,Maison,3.048636,50.614503
578,2017-07-07,226600,30,Maison,3.048531,50.614529
