,rowid,date_mutation,longitude,latitude
14810,32072,2020-01-06,3.051559,50.612685
14811,32074,2020-01-08,3.051559,50.612685
14812,32077,2020-01-06,3.086563,50.650152
14813,32079,2020-01-28,3.06902,50.633276
14814,32080,2020-01-20,3.061451,50.638385
14815,32082,2020-01-23,3.059477,50.636028
14816,32083,2020-01-22,3.050839,50.631582
14817,32084,2020-01-28,3.105723,50.627778
14818,32086,2020-01-09,3.053252,50.627336
14819,32087,2020-01-17,3.069146,50.621682
14820,32088,2020-01-24,3.061883,50.620716
14821,32091,2020-01-08,3.06549,50.612929
14822,32092,2020-01-24,3.045755,50.626023
14823,32096,2020-01-22,3.098934,50.636045
14824,32097,2020-01-22,3.098934,50.636045
14825,32098,2020-01-22,3.098934,50.636045
14826,32099,2020-01-08,3.086607,50.633274
14827,32100,2020-01-08,3.086607,50.633274
14828,32101,2020-01-08,3.086607,50.633274
14829,32102,2020-01-08,3.086607,50.633274
14830,32103,2020-01-08,3.086607,50.633274
14831,32104,2020-01-08,3.086607,50.633274
14832,32105,2020-01-08,3.086607,50.633274
14833,32107,2020-01-28,3.056803,50.633434
14834,32109,2020-01-09,3.050901,50.628838
14835,32111,2020-01-16,3.05716,50.647862
14836,32116,2020-01-23,3.079898,50.626939
14837,32117,2020-01-29,3.069313,50.621815
14838,32122,2020-01-09,3.06549,50.612929
14839,32123,2020-01-29,3.057208,50.645362
14840,32124,2020-01-15,3.053378,50.631756
14841,32125,2020-01-09,3.045755,50.626023
14842,32127,2020-01-28,3.061908,50.648026
14843,32128,2020-01-21,3.067059,50.638058
14844,32130,2020-01-20,3.064526,50.629305
14845,32131,2020-01-15,3.055597,50.632751
14846,32132,2020-01-15,3.055597,50.632751
14847,32133,2020-01-15,3.055597,50.632751
14848,32134,2020-01-15,3.055597,50.632751
14849,32138,2020-01-08,3.046734,50.629288
14850,32140,2020-01-28,3.105723,50.627778
14851,32144,2020-01-17,3.071482,50.632898
14852,32145,2020-01-18,3.059197,50.641628
14853,32147,2020-01-21,3.034191,50.624273
14854,32149,2020-01-09,3.052912,50.631733
14855,32152,2020-01-24,3.082927,50.644026
14856,32155,2020-01-27,3.052726,50.63795
14857,32158,2020-01-29,3.080442,50.622551
14858,32162,2020-01-31,3.05877,50.635796
14859,32163,2020-01-30,3.057438,50.640122
14860,32165,2020-01-15,3.041664,50.631263
14861,32169,2020-01-30,3.046517,50.625689
14862,32173,2020-01-10,3.06661,50.631133
14863,32175,2020-01-17,3.054053,50.641116
14864,32177,2020-01-20,3.071025,50.622921
14865,32179,2020-01-29,3.071482,50.632898
14866,32183,2020-01-20,3.061097,50.633826
14867,32184,2020-01-23,3.05716,50.647862
14868,32186,2020-01-30,3.063925,50.629419
14869,32191,2020-01-21,3.063112,50.638782
14870,32193,2020-01-21,3.041694,50.632487
14871,32194,2020-01-10,3.06549,50.612929
14872,32196,2020-01-30,3.055788,50.628977
14873,32197,2020-01-10,3.035109,50.621925
14874,32198,2020-01-31,3.054435,50.630108
14875,32199,2020-01-31,3.058431,50.639725
14876,32201,2020-01-28,3.092144,50.644033
14877,32203,2020-01-22,3.084446,50.651233
14878,32208,2020-01-30,3.070362,50.639365
14879,32212,2020-01-10,3.058492,50.637799
14880,32214,2020-01-10,3.040407,50.623579
14881,32215,2020-01-20,3.063413,50.639345
14882,32216,2020-01-30,3.060888,50.628751
14883,32219,2020-01-31,3.049482,50.619907
14884,32222,2020-01-17,3.0855,50.640403
14885,32224,2020-01-31,3.049524,50.629637
14886,32225,2020-01-23,3.06661,50.631133
14887,32228,2020-01-23,3.068907,50.63402
14888,32229,2020-01-13,3.061091,50.63913
14889,32231,2020-01-31,3.039284,50.62735
14890,32233,2020-01-31,3.039284,50.62735
14891,32234,2020-01-31,3.039284,50.62735
14892,32235,2020-01-20,3.056691,50.623696
14893,32236,2020-01-20,3.056691,50.623696
14894,32238,2020-02-05,3.084103,50.643086
14895,32240,2020-01-31,3.086943,50.638746
14896,32244,2020-01-08,3.051842,50.634507
14897,32246,2020-01-30,3.056045,50.645448
14898,32247,2020-01-14,3.043697,50.622545
14899,32248,2020-01-14,3.093438,50.647479
14900,32250,2020-01-30,3.046195,50.630539
14901,32251,2020-01-29,3.089884,50.625705
14902,32252,2020-02-05,3.06549,50.612929
14903,32254,2020-01-21,3.026944,50.635163
14904,32258,2020-01-24,3.041714,50.623402
14905,32260,2020-01-15,3.053019,50.646106
14906,32262,2020-01-14,3.057871,50.618054
14907,32263,2020-01-14,3.057871,50.618054
14908,32264,2020-01-14,3.057871,50.618054
14909,32265,2020-01-14,3.057871,50.618054
14910,32267,2020-01-15,3.097949,50.62984
14911,32268,2020-01-13,3.032087,50.635547
14912,32269,2020-01-22,3.089063,50.638843
14913,32273,2020-02-03,3.059666,50.648226
14914,32275,2020-01-15,3.033589,50.633816
14915,32278,2020-01-10,3.047289,50.627692
14916,32279,2020-02-04,3.027774,50.634578
14917,32284,2020-01-24,3.096666,50.64958
14918,32285,2020-02-04,3.033295,50.623816
14919,32296,2020-02-01,3.062439,50.639091
14920,32300,2020-02-05,3.099595,50.623657
14921,32301,2020-01-16,3.048006,50.634263
14922,32305,2020-01-24,3.051983,50.60339
14923,32308,2020-01-28,3.066172,50.625532
14924,32310,2020-01-25,3.093578,50.632133
14925,32311,2020-01-25,3.093578,50.632133
14926,32315,2020-01-10,3.053019,50.646106
14927,32323,2020-01-16,3.065936,50.619982
14928,32325,2020-02-06,3.057624,50.625096
14929,32326,2020-01-10,3.035771,50.624107
14930,32327,2020-01-17,3.075192,50.63467
14931,32328,2020-02-06,3.068539,50.618561
14932,32330,2020-01-30,3.055124,50.642338
14933,32332,2020-02-10,3.100239,50.634597
14934,32333,2020-02-10,3.100239,50.634597
14935,32335,2020-02-10,3.100239,50.634597
14936,32337,2020-01-17,3.050315,50.630554
14937,32338,2020-01-17,3.050315,50.630554
14938,32339,2020-01-17,3.050315,50.630554
14939,32340,2020-01-17,3.050315,50.630554
14940,32341,2020-01-28,3.07196,50.622481
14941,32342,2020-01-28,3.07196,50.622481
14942,32344,2020-01-28,3.07196,50.622481
14943,32355,2020-01-22,3.087943,50.64909
14944,32357,2020-01-14,3.052631,50.636291
14945,32359,2020-01-28,3.03373,50.627021
14946,32369,2020-01-16,3.092144,50.644033
14947,32371,2020-02-07,3.05239,50.645627
14948,32373,2020-01-16,3.092144,50.644033
14949,32376,2020-01-16,3.092144,50.644033
14950,32377,2020-01-16,3.071821,50.622802
14951,32379,2020-01-15,3.073927,50.6118
