,rowid,longitude,latitude
476,6138,3.027468,50.633066
477,6192,3.088245,50.617728
478,6269,3.065735,50.622971
479,6271,3.065709,50.623078
480,6272,3.065419,50.623159
481,6273,3.065408,50.623116
482,6277,3.008593,50.63549
483,6278,3.006947,50.634609
484,6279,3.013725,50.62867
485,6282,3.018252,50.636015
486,6288,3.001408,50.647284
487,6289,3.003258,50.646981
488,6292,2.976644,50.644651
489,6295,3.013015,50.635601
490,6296,3.017589,50.635926
491,6297,2.980578,50.647395
492,6302,3.009103,50.634684
493,6307,2.993271,50.644961
494,6308,3.01113,50.635543
495,6313,3.011013,50.630016
496,6314,3.010328,50.634792
497,6329,3.014965,50.629805
498,6330,3.009447,50.648525
499,6333,2.973414,50.648864
500,6335,3.015732,50.64048
501,6336,2.980851,50.640827
502,6337,2.980289,50.647334
503,6338,3.016713,50.638977
504,6341,3.014242,50.627922
505,6342,2.987862,50.650314
506,6343,3.009701,50.633606
507,6345,3.002046,50.647273
508,6346,2.988277,50.647499
509,6349,3.007333,50.648585
510,6350,3.00936,50.634435
511,6354,3.008882,50.64807
512,6355,3.011627,50.629996
513,6364,3.019394,50.638659
514,6366,3.004772,50.647849
515,6381,3.005929,50.646681
516,6383,3.004602,50.632968
517,6386,3.017047,50.635894
518,6388,3.008624,50.635461
519,6389,2.982625,50.640945
520,6390,3.016153,50.632487
521,6391,3.002743,50.630648
522,6392,2.997528,50.648724
523,6393,2.985099,50.641455
524,6399,3.011481,50.647167
525,6400,3.018685,50.639923
526,6401,3.002529,50.632095
527,6402,3.016857,50.640359
528,6403,2.995791,50.645606
529,6404,3.005366,50.628769
530,6405,2.982111,50.645334
531,6409,3.012261,50.643278
532,6410,2.987917,50.645934
533,6411,3.008961,50.634999
534,6414,3.001207,50.646385
535,6415,3.012563,50.634494
536,6420,3.007928,50.634986
537,6421,2.983701,50.646927
538,6422,2.99281,50.64269
539,6424,2.998661,50.647726
540,6425,3.011411,50.64726
541,6426,3.010199,50.640037
542,6427,2.997803,50.646313
543,6428,2.979688,50.64044
544,6429,2.985426,50.643364
545,6435,3.005509,50.648283
546,6436,2.982028,50.64047
547,6437,3.010355,50.633027
548,6438,3.01647,50.637236
549,6439,3.012761,50.635546
550,6449,3.018146,50.633267
551,6450,3.006983,50.64661
552,6451,2.988659,50.643088
553,6452,2.988605,50.642983
554,6453,3.007036,50.648224
555,6455,3.013521,50.640751
556,6456,3.0074,50.648548
557,6459,3.005073,50.634927
558,6460,3.013206,50.637126
559,6464,3.017052,50.628405
560,6466,3.011748,50.628301
561,6467,3.014364,50.627969
562,6470,3.013986,50.631961
563,6472,3.003325,50.626893
564,6479,3.001663,50.648363
565,6487,3.011091,50.634827
